ProductType,Model,Manufacturer
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
WORKSTATION,Z230 TOWER WORKSTATION,HP
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
